Tag,Ball-Powder Ratio,Jar,20mm Run Time (Hours),10mm Run Time (Hours),6mm Run Time (Hours),Total Run Time (Hours),Circ.,Feret,AR,Round
A4,15:1,,32.0,0.0,0.0,32.0,0.681,122.577,1.758,0.569
A4,15:1,,32.0,0.0,0.0,32.0,0.63,102.903,1.169,0.856
A4,15:1,,32.0,0.0,0.0,32.0,0.48,146.291,1.225,0.816
A4,15:1,,32.0,0.0,0.0,32.0,0.641,87.367,1.401,0.714
A4,15:1,,32.0,0.0,0.0,32.0,0.635,78.243,1.402,0.713
A4,15:1,,32.0,0.0,0.0,32.0,0.639,66.491,1.801,0.555
A4,15:1,,32.0,0.0,0.0,32.0,0.642,89.359,1.493,0.67
A4,15:1,,32.0,0.0,0.0,32.0,0.64,133.765,1.451,0.689
A4,15:1,,32.0,0.0,0.0,32.0,0.622,126.036,1.728,0.579
A4,15:1,,32.0,0.0,0.0,32.0,0.765,49.366,1.149,0.87
A4,15:1,,32.0,0.0,0.0,32.0,0.667,76.059,1.252,0.798
A4,15:1,,32.0,0.0,0.0,32.0,0.636,65.307,1.188,0.842
A4,15:1,,32.0,0.0,0.0,32.0,0.652,115.974,1.329,0.753
A4,15:1,,32.0,0.0,0.0,32.0,0.561,80.777,1.732,0.577
A4,15:1,,32.0,0.0,0.0,32.0,0.736,67.186,1.398,0.715
A4,15:1,,32.0,0.0,0.0,32.0,0.603,108.706,1.377,0.726
A4,15:1,,32.0,0.0,0.0,32.0,0.611,122.348,1.64,0.61
A4,15:1,,32.0,0.0,0.0,32.0,0.636,62.586,1.531,0.653
A4,15:1,,32.0,0.0,0.0,32.0,0.545,111.018,1.795,0.557
A4,15:1,,32.0,0.0,0.0,32.0,0.606,56.613,1.122,0.891
A4,15:1,,32.0,0.0,0.0,32.0,0.662,82.873,1.527,0.655
A4,15:1,,32.0,0.0,0.0,32.0,0.615,215.541,1.906,0.525
A4,15:1,,32.0,0.0,0.0,32.0,0.476,106.626,2.184,0.458
A4,15:1,,32.0,0.0,0.0,32.0,0.678,92.266,1.384,0.723
A4,15:1,,32.0,0.0,0.0,32.0,0.674,61.911,1.31,0.764
A4,15:1,,32.0,0.0,0.0,32.0,0.529,66.851,1.377,0.726
A4,15:1,,32.0,0.0,0.0,32.0,0.642,92.114,1.843,0.543
A4,15:1,,32.0,0.0,0.0,32.0,0.6,70.711,1.371,0.729
A4,15:1,,32.0,0.0,0.0,32.0,0.681,52.953,1.733,0.577
A4,15:1,,32.0,0.0,0.0,32.0,0.692,94.626,1.257,0.796
A4,15:1,,32.0,0.0,0.0,32.0,0.604,91.591,1.117,0.895
A4,15:1,,32.0,0.0,0.0,32.0,0.662,74.33,1.86,0.538
A4,15:1,,32.0,0.0,0.0,32.0,0.688,51.313,1.236,0.809
A4,15:1,,32.0,0.0,0.0,32.0,0.653,34.713,1.112,0.9
A4,15:1,,32.0,0.0,0.0,32.0,0.663,71.868,1.09,0.917
A4,15:1,,32.0,0.0,0.0,32.0,0.705,86.701,1.442,0.694
A4,15:1,,32.0,0.0,0.0,32.0,0.521,113.004,1.45,0.69
A4,15:1,,32.0,0.0,0.0,32.0,0.641,60.133,1.192,0.839
A4,15:1,,32.0,0.0,0.0,32.0,0.698,53.6,1.274,0.785
A4,15:1,,32.0,0.0,0.0,32.0,0.633,44.102,2.13,0.47
A4,15:1,,32.0,0.0,0.0,32.0,0.737,50.12,1.222,0.818
A4,15:1,,32.0,0.0,0.0,32.0,0.677,64.444,1.111,0.9
A4,15:1,,32.0,0.0,0.0,32.0,0.616,82.68,2.262,0.442
A4,15:1,,32.0,0.0,0.0,32.0,0.648,58.523,1.338,0.748
A4,15:1,,32.0,0.0,0.0,32.0,0.763,52.431,1.422,0.703
A4,15:1,,32.0,0.0,0.0,32.0,0.553,104.178,1.449,0.69
A4,15:1,,32.0,0.0,0.0,32.0,0.661,40.162,1.382,0.724
A4,15:1,,32.0,0.0,0.0,32.0,0.703,41.195,1.254,0.797
A4,15:1,,32.0,0.0,0.0,32.0,0.62,50.249,1.517,0.659
A4,15:1,,32.0,0.0,0.0,32.0,0.543,68.659,1.296,0.771
A4,15:1,,32.0,0.0,0.0,32.0,0.642,51.264,1.167,0.857
A4,15:1,,32.0,0.0,0.0,32.0,0.699,68.447,1.447,0.691
A4,15:1,,32.0,0.0,0.0,32.0,0.601,51.624,1.627,0.615
A4,15:1,,32.0,0.0,0.0,32.0,0.691,78.772,1.914,0.522
A4,15:1,,32.0,0.0,0.0,32.0,0.587,129.541,1.463,0.684
A4,15:1,,32.0,0.0,0.0,32.0,0.631,65.924,1.289,0.776
A4,15:1,,32.0,0.0,0.0,32.0,0.729,51.352,1.448,0.69
A4,15:1,,32.0,0.0,0.0,32.0,0.516,55.471,1.559,0.641
A4,15:1,,32.0,0.0,0.0,32.0,0.647,81.884,1.152,0.868
A4,15:1,,32.0,0.0,0.0,32.0,0.627,62.394,1.521,0.658
A4,15:1,,32.0,0.0,0.0,32.0,0.607,111.126,1.902,0.526
A4,15:1,,32.0,0.0,0.0,32.0,0.674,95.901,1.648,0.607
A4,15:1,,32.0,0.0,0.0,32.0,0.674,63.285,1.167,0.857
A4,15:1,,32.0,0.0,0.0,32.0,0.65,94.34,1.236,0.809
A4,15:1,,32.0,0.0,0.0,32.0,0.727,72.339,1.043,0.959
A4,15:1,,32.0,0.0,0.0,32.0,0.688,78.772,1.489,0.672
A4,15:1,,32.0,0.0,0.0,32.0,0.693,44.822,1.64,0.61
A4,15:1,,32.0,0.0,0.0,32.0,0.58,59.439,1.973,0.507
A4,15:1,,32.0,0.0,0.0,32.0,0.68,86.145,1.512,0.661
A4,15:1,,32.0,0.0,0.0,32.0,0.625,64.195,1.532,0.653
A4,15:1,,32.0,0.0,0.0,32.0,0.69,87.556,1.13,0.885
A4,15:1,,32.0,0.0,0.0,32.0,0.662,83.024,1.523,0.657
A4,15:1,,32.0,0.0,0.0,32.0,0.67,72.443,1.449,0.69
A4,15:1,,32.0,0.0,0.0,32.0,0.731,55.973,1.228,0.814
A4,15:1,,32.0,0.0,0.0,32.0,0.608,66.242,1.091,0.917
A4,15:1,,32.0,0.0,0.0,32.0,0.593,37.121,1.463,0.684
